Scam Type,Scam Type.1,Threat Type,Medium Used,Target Actions,Common Phrases/Examples,Unnamed: 6
Impersonation Scams,Exploits online relationships to demand money or gifts.,Personal,Social Media,Pay for fake services,Invest now and double your money.,
Romance Scams,Asks for donations to fake causes or charities.,Personal,Pop-ups,Pay fine to avoid arrest,"Help me, I'm in trouble.",
Investment Scams,Promotes fake investment opportunities to steal money.,Financial,Email,Provide personal information,You owe $500. Pay immediately.,
Impersonation Scams,Claims the victim has won a prize and asks for payment to claim it.,Legal,Pop-ups,Donate to fake charity,You’ve won! Claim your prize by paying a fee.,
Fake Law Enforcement Scams,Pretends to be someone else to steal personal or financial information.,Personal,Pop-ups,Invest in fake opportunity,Invest now and double your money.,
Tech Support Scams,Promotes fake investment opportunities to steal money.,Legal,Social Media,Make payment to avoid legal trouble,Your device is infected. Call us to fix it.,
Fake Law Enforcement Scams,Exploits online relationships to demand money or gifts.,Financial,SMS,Claim prize by paying fee,"Help me, I'm in trouble.",
Extortion Scams,Asks for donations to fake causes or charities.,Financial/Emotional,Social Media,Pay for fake services,Confirm your account details to avoid suspension.,
Tech Support Scams,Exploits online relationships to demand money or gifts.,Legal,Dating Apps,Claim prize by paying fee,You owe $500. Pay immediately.,
Extortion Scams,Exploits online relationships to demand money or gifts.,Emotional,Pop-ups,Pay ransom,You owe $500. Pay immediately.,
Debt Collection Scams,Exploits online relationships to demand money or gifts.,Legal,Email,Send money or gifts,Your device is infected. Call us to fix it.,
Tech Support Scams,Tricks victims into providing sensitive information.,Financial,Pop-ups,Claim prize by paying fee,I need money for an emergency.,
Extortion Scams,Tricks victims into providing sensitive information.,Personal,Email,Donate to fake charity,I need money for an emergency.,
Extortion Scams,Threatens to release personal data unless ransom is paid.,Legal,SMS,Provide personal information,You owe $500. Pay immediately.,
Phishing Scams,Exploits online relationships to demand money or gifts.,Financial,Email,Pay fine to avoid arrest,You’ve won! Claim your prize by paying a fee.,
Romance Scams,Asks for donations to fake causes or charities.,Legal,Dating Apps,Pay fine to avoid arrest,I need money for an emergency.,
Investment Scams,Exploits online relationships to demand money or gifts.,Financial/Personal,Social Media,Provide personal information,You’ve won! Claim your prize by paying a fee.,
Romance Scams,Tricks victims into providing sensitive information.,Personal,Dating Apps,Claim prize by paying fee,Invest now and double your money.,
Charity Scams,Pretends to be someone else to steal personal or financial information.,Financial,Email,Make payment to avoid legal trouble,This is a charity drive. Donate now.,
Impersonation Scams,Impersonates police or government to claim unpaid fines.,Financial/Emotional,Email,Claim prize by paying fee,"Help me, I'm in trouble.",
Charity Scams,Asks for donations to fake causes or charities.,Financial/Personal,Email,Provide personal information,Your account is compromised. Act now!,
Fake Law Enforcement Scams,Exploits online relationships to demand money or gifts.,Financial,Pop-ups,Send money or gifts,Your account is compromised. Act now!,
Fake Law Enforcement Scams,Falsely claims unpaid debt and demands immediate payment.,Financial/Personal,Social Media,Pay ransom,Your device is infected. Call us to fix it.,
Debt Collection Scams,Promotes fake investment opportunities to steal money.,Emotional,Phone,Donate to fake charity,We are the IRS. Pay to avoid legal action.,
Extortion Scams,Falsely claims unpaid debt and demands immediate payment.,Emotional,Social Media,Donate to fake charity,Invest now and double your money.,
Tech Support Scams,Claims the victim has won a prize and asks for payment to claim it.,Financial,Pop-ups,Donate to fake charity,"Help me, I'm in trouble.",
Charity Scams,Asks for donations to fake causes or charities.,Financial/Emotional,Email,Claim prize by paying fee,Your account is compromised. Act now!,
Extortion Scams,Promotes fake investment opportunities to steal money.,Legal,Pop-ups,Make payment to avoid legal trouble,This is a charity drive. Donate now.,
Tech Support Scams,Falsely claims unpaid debt and demands immediate payment.,Legal,Phone,Pay for fake services,You’ve won! Claim your prize by paying a fee.,
Impersonation Scams,Promotes fake investment opportunities to steal money.,Emotional,SMS,Provide personal information,I need money for an emergency.,
Romance Scams,Falsely claims unpaid debt and demands immediate payment.,Emotional,Phone,Pay for fake services,I need money for an emergency.,
Investment Scams,Claims the victim has won a prize and asks for payment to claim it.,Emotional,SMS,Pay ransom,Your account is compromised. Act now!,
Lottery Scams,Threatens to release personal data unless ransom is paid.,Financial/Emotional,Phone,Donate to fake charity,"Help me, I'm in trouble.",
Phishing Scams,Falsely claims unpaid debt and demands immediate payment.,Financial/Emotional,Email,Pay for fake services,I need money for an emergency.,
Investment Scams,Promotes fake investment opportunities to steal money.,Legal,Social Media,Make payment to avoid legal trouble,You’ve won! Claim your prize by paying a fee.,
Fake Law Enforcement Scams,Tricks victims into providing sensitive information.,Financial/Emotional,SMS,Claim prize by paying fee,"Help me, I'm in trouble.",
Tech Support Scams,Claims the victim has won a prize and asks for payment to claim it.,Legal,Email,Pay fine to avoid arrest,Your device is infected. Call us to fix it.,
Extortion Scams,Asks for donations to fake causes or charities.,Legal,Pop-ups,Make payment to avoid legal trouble,This is a charity drive. Donate now.,
Fake Law Enforcement Scams,Promotes fake investment opportunities to steal money.,Financial/Emotional,Email,Donate to fake charity,We are the IRS. Pay to avoid legal action.,
Phishing Scams,Pretends to be someone else to steal personal or financial information.,Financial/Personal,Phone,Send money or gifts,We are the IRS. Pay to avoid legal action.,
Impersonation Scams,Claims the victim's device is infected with malware and demands payment.,Emotional,Pop-ups,Send money or gifts,This is a charity drive. Donate now.,
Phishing Scams,Tricks victims into providing sensitive information.,Personal,SMS,Provide personal information,We are the IRS. Pay to avoid legal action.,
Tech Support Scams,Falsely claims unpaid debt and demands immediate payment.,Financial,Social Media,Donate to fake charity,You’ve won! Claim your prize by paying a fee.,
Lottery Scams,Claims the victim has won a prize and asks for payment to claim it.,Financial/Personal,Pop-ups,Provide personal information,This is a charity drive. Donate now.,
Extortion Scams,Impersonates police or government to claim unpaid fines.,Legal,Phone,Pay ransom,Invest now and double your money.,
Romance Scams,Promotes fake investment opportunities to steal money.,Financial/Emotional,Phone,Invest in fake opportunity,We are the IRS. Pay to avoid legal action.,
Charity Scams,Tricks victims into providing sensitive information.,Emotional,Email,Make payment to avoid legal trouble,This is a charity drive. Donate now.,
Investment Scams,Claims the victim's device is infected with malware and demands payment.,Financial,SMS,Provide personal information,Your account is compromised. Act now!,
Fake Law Enforcement Scams,Threatens to release personal data unless ransom is paid.,Personal,Social Media,Send money or gifts,Invest now and double your money.,
Lottery Scams,Claims the victim has won a prize and asks for payment to claim it.,Financial/Personal,Social Media,Claim prize by paying fee,"Help me, I'm in trouble.",
Tech Support Scams,Threatens to release personal data unless ransom is paid.,Emotional,Phone,Make payment to avoid legal trouble,Your account is compromised. Act now!,
Investment Scams,Threatens to release personal data unless ransom is paid.,Personal,Phone,Make payment to avoid legal trouble,Your device is infected. Call us to fix it.,
Romance Scams,Tricks victims into providing sensitive information.,Personal,Email,Invest in fake opportunity,I need money for an emergency.,
Tech Support Scams,Claims the victim has won a prize and asks for payment to claim it.,Personal,Email,Invest in fake opportunity,Confirm your account details to avoid suspension.,
Phishing Scams,Tricks victims into providing sensitive information.,Personal,SMS,Invest in fake opportunity,"Help me, I'm in trouble.",
Charity Scams,Impersonates police or government to claim unpaid fines.,Legal,SMS,Invest in fake opportunity,Confirm your account details to avoid suspension.,
Fake Law Enforcement Scams,Claims the victim's device is infected with malware and demands payment.,Financial/Personal,Email,Send money or gifts,Invest now and double your money.,
Impersonation Scams,Claims the victim has won a prize and asks for payment to claim it.,Emotional,Pop-ups,Pay for fake services,Your device is infected. Call us to fix it.,
Investment Scams,Threatens to release personal data unless ransom is paid.,Financial,SMS,Provide personal information,Confirm your account details to avoid suspension.,
Romance Scams,Asks for donations to fake causes or charities.,Financial,SMS,Invest in fake opportunity,This is a charity drive. Donate now.,
Fake Law Enforcement Scams,Exploits online relationships to demand money or gifts.,Financial/Emotional,Dating Apps,Send money or gifts,Invest now and double your money.,
Fake Law Enforcement Scams,Pretends to be someone else to steal personal or financial information.,Personal,Phone,Send money or gifts,You owe $500. Pay immediately.,
Phishing Scams,Tricks victims into providing sensitive information.,Financial,Email,Send money or gifts,Your account is compromised. Act now!,
Lottery Scams,Exploits online relationships to demand money or gifts.,Financial/Emotional,SMS,Pay ransom,This is a charity drive. Donate now.,
Extortion Scams,Claims the victim's device is infected with malware and demands payment.,Financial/Personal,Email,Send money or gifts,"Help me, I'm in trouble.",
Impersonation Scams,Exploits online relationships to demand money or gifts.,Legal,Dating Apps,Pay fine to avoid arrest,Your account is compromised. Act now!,
Extortion Scams,Claims the victim's device is infected with malware and demands payment.,Emotional,Phone,Pay for fake services,We are the IRS. Pay to avoid legal action.,
Romance Scams,Tricks victims into providing sensitive information.,Financial/Personal,Dating Apps,Invest in fake opportunity,"Help me, I'm in trouble.",
Extortion Scams,Threatens to release personal data unless ransom is paid.,Emotional,Pop-ups,Pay ransom,Your account is compromised. Act now!,
Impersonation Scams,Asks for donations to fake causes or charities.,Personal,Phone,Pay for fake services,"Help me, I'm in trouble.",
Impersonation Scams,Threatens to release personal data unless ransom is paid.,Financial,Email,Provide personal information,This is a charity drive. Donate now.,
Lottery Scams,Threatens to release personal data unless ransom is paid.,Financial/Personal,SMS,Invest in fake opportunity,We are the IRS. Pay to avoid legal action.,
Extortion Scams,Asks for donations to fake causes or charities.,Financial/Personal,Social Media,Pay ransom,This is a charity drive. Donate now.,
Lottery Scams,Falsely claims unpaid debt and demands immediate payment.,Legal,Pop-ups,Pay ransom,Your account is compromised. Act now!,
Lottery Scams,Pretends to be someone else to steal personal or financial information.,Emotional,Email,Pay fine to avoid arrest,Your account is compromised. Act now!,
Impersonation Scams,Threatens to release personal data unless ransom is paid.,Financial/Emotional,Email,Make payment to avoid legal trouble,Invest now and double your money.,
Extortion Scams,Exploits online relationships to demand money or gifts.,Emotional,Email,Donate to fake charity,Your device is infected. Call us to fix it.,
Investment Scams,Impersonates police or government to claim unpaid fines.,Financial,Pop-ups,Provide personal information,You’ve won! Claim your prize by paying a fee.,
Debt Collection Scams,Pretends to be someone else to steal personal or financial information.,Financial/Personal,Pop-ups,Pay for fake services,Confirm your account details to avoid suspension.,
Phishing Scams,Impersonates police or government to claim unpaid fines.,Personal,Phone,Donate to fake charity,We are the IRS. Pay to avoid legal action.,
Romance Scams,Asks for donations to fake causes or charities.,Personal,Social Media,Invest in fake opportunity,Your device is infected. Call us to fix it.,
Debt Collection Scams,Pretends to be someone else to steal personal or financial information.,Personal,Phone,Make payment to avoid legal trouble,This is a charity drive. Donate now.,
Debt Collection Scams,Claims the victim's device is infected with malware and demands payment.,Legal,Social Media,Send money or gifts,You’ve won! Claim your prize by paying a fee.,
Tech Support Scams,Tricks victims into providing sensitive information.,Financial/Personal,SMS,Claim prize by paying fee,Your account is compromised. Act now!,
Extortion Scams,Impersonates police or government to claim unpaid fines.,Legal,Social Media,Pay for fake services,This is a charity drive. Donate now.,
Extortion Scams,Claims the victim has won a prize and asks for payment to claim it.,Financial,Pop-ups,Make payment to avoid legal trouble,We are the IRS. Pay to avoid legal action.,
Lottery Scams,Pretends to be someone else to steal personal or financial information.,Financial,Pop-ups,Provide personal information,"Help me, I'm in trouble.",
Impersonation Scams,Tricks victims into providing sensitive information.,Personal,Phone,Make payment to avoid legal trouble,We are the IRS. Pay to avoid legal action.,
Lottery Scams,Promotes fake investment opportunities to steal money.,Financial,SMS,Claim prize by paying fee,Your account is compromised. Act now!,
Phishing Scams,Falsely claims unpaid debt and demands immediate payment.,Financial/Personal,SMS,Make payment to avoid legal trouble,Your account is compromised. Act now!,
Investment Scams,Pretends to be someone else to steal personal or financial information.,Financial/Emotional,SMS,Make payment to avoid legal trouble,Your account is compromised. Act now!,
Extortion Scams,Claims the victim's device is infected with malware and demands payment.,Legal,SMS,Claim prize by paying fee,Confirm your account details to avoid suspension.,
Lottery Scams,Pretends to be someone else to steal personal or financial information.,Financial,Dating Apps,Make payment to avoid legal trouble,This is a charity drive. Donate now.,
Investment Scams,Impersonates police or government to claim unpaid fines.,Emotional,Dating Apps,Send money or gifts,Confirm your account details to avoid suspension.,
Tech Support Scams,Claims the victim's device is infected with malware and demands payment.,Personal,SMS,Provide personal information,"Help me, I'm in trouble.",
Charity Scams,Falsely claims unpaid debt and demands immediate payment.,Financial/Personal,SMS,Provide personal information,This is a charity drive. Donate now.,
Lottery Scams,Claims the victim has won a prize and asks for payment to claim it.,Financial/Emotional,Social Media,Pay ransom,Your account is compromised. Act now!,
Impersonation Scams,Pretends to be someone else to steal personal or financial information.,Emotional,SMS,Provide personal information,Your account is compromised. Act now!,
Impersonation Scams,Asks for donations to fake causes or charities.,Financial/Emotional,Email,Donate to fake charity,Your account is compromised. Act now!,
Fake Law Enforcement Scams,Claims the victim has won a prize and asks for payment to claim it.,Legal,Social Media,Provide personal information,You owe $500. Pay immediately.,
Lottery Scams,Exploits online relationships to demand money or gifts.,Personal,SMS,Claim prize by paying fee,You’ve won! Claim your prize by paying a fee.,
Extortion Scams,Asks for donations to fake causes or charities.,Personal,Email,Pay fine to avoid arrest,Your account is compromised. Act now!,
Phishing Scams,Threatens to release personal data unless ransom is paid.,Financial/Emotional,Pop-ups,Provide personal information,You owe $500. Pay immediately.,
Extortion Scams,Exploits online relationships to demand money or gifts.,Financial,Dating Apps,Make payment to avoid legal trouble,Invest now and double your money.,
Romance Scams,Threatens to release personal data unless ransom is paid.,Emotional,Dating Apps,Send money or gifts,You owe $500. Pay immediately.,
Extortion Scams,Exploits online relationships to demand money or gifts.,Financial,Pop-ups,Claim prize by paying fee,We are the IRS. Pay to avoid legal action.,
Charity Scams,Promotes fake investment opportunities to steal money.,Financial/Personal,Phone,Provide personal information,You owe $500. Pay immediately.,
Debt Collection Scams,Threatens to release personal data unless ransom is paid.,Financial/Emotional,Social Media,Donate to fake charity,Confirm your account details to avoid suspension.,
Lottery Scams,Exploits online relationships to demand money or gifts.,Financial,Dating Apps,Pay ransom,This is a charity drive. Donate now.,
Extortion Scams,Claims the victim has won a prize and asks for payment to claim it.,Legal,Phone,Claim prize by paying fee,You’ve won! Claim your prize by paying a fee.,
Impersonation Scams,Falsely claims unpaid debt and demands immediate payment.,Legal,Pop-ups,Provide personal information,"Help me, I'm in trouble.",
Romance Scams,Tricks victims into providing sensitive information.,Financial/Personal,Dating Apps,Pay for fake services,Your device is infected. Call us to fix it.,
Tech Support Scams,Tricks victims into providing sensitive information.,Personal,Email,Pay ransom,This is a charity drive. Donate now.,
Impersonation Scams,Claims the victim's device is infected with malware and demands payment.,Financial/Personal,Email,Pay for fake services,Confirm your account details to avoid suspension.,
Impersonation Scams,Claims the victim's device is infected with malware and demands payment.,Financial,Dating Apps,Invest in fake opportunity,This is a charity drive. Donate now.,
Phishing Scams,Promotes fake investment opportunities to steal money.,Legal,Email,Pay fine to avoid arrest,We are the IRS. Pay to avoid legal action.,
Romance Scams,Threatens to release personal data unless ransom is paid.,Personal,SMS,Claim prize by paying fee,Your account is compromised. Act now!,
Debt Collection Scams,Asks for donations to fake causes or charities.,Financial/Emotional,Dating Apps,Claim prize by paying fee,This is a charity drive. Donate now.,
Debt Collection Scams,Tricks victims into providing sensitive information.,Financial/Emotional,Pop-ups,Provide personal information,Confirm your account details to avoid suspension.,
Romance Scams,Tricks victims into providing sensitive information.,Legal,Social Media,Pay for fake services,We are the IRS. Pay to avoid legal action.,
Extortion Scams,Claims the victim has won a prize and asks for payment to claim it.,Financial,Phone,Pay fine to avoid arrest,This is a charity drive. Donate now.,
Debt Collection Scams,Asks for donations to fake causes or charities.,Legal,Dating Apps,Provide personal information,We are the IRS. Pay to avoid legal action.,
Phishing Scams,Falsely claims unpaid debt and demands immediate payment.,Financial,SMS,Provide personal information,I need money for an emergency.,
Tech Support Scams,Impersonates police or government to claim unpaid fines.,Financial,Phone,Pay for fake services,Confirm your account details to avoid suspension.,
Fake Law Enforcement Scams,Tricks victims into providing sensitive information.,Legal,Pop-ups,Provide personal information,Invest now and double your money.,
Fake Law Enforcement Scams,Pretends to be someone else to steal personal or financial information.,Legal,Social Media,Claim prize by paying fee,You owe $500. Pay immediately.,
Tech Support Scams,Falsely claims unpaid debt and demands immediate payment.,Emotional,SMS,Pay fine to avoid arrest,This is a charity drive. Donate now.,
Charity Scams,Promotes fake investment opportunities to steal money.,Personal,Pop-ups,Provide personal information,You owe $500. Pay immediately.,
Charity Scams,Exploits online relationships to demand money or gifts.,Emotional,Pop-ups,Pay fine to avoid arrest,You owe $500. Pay immediately.,
Investment Scams,Exploits online relationships to demand money or gifts.,Financial,Email,Donate to fake charity,Confirm your account details to avoid suspension.,
Charity Scams,Claims the victim's device is infected with malware and demands payment.,Financial,Phone,Make payment to avoid legal trouble,Your device is infected. Call us to fix it.,
Investment Scams,Claims the victim's device is infected with malware and demands payment.,Personal,Phone,Claim prize by paying fee,You’ve won! Claim your prize by paying a fee.,
Charity Scams,Falsely claims unpaid debt and demands immediate payment.,Personal,Email,Claim prize by paying fee,This is a charity drive. Donate now.,
Extortion Scams,Asks for donations to fake causes or charities.,Legal,Phone,Invest in fake opportunity,Confirm your account details to avoid suspension.,
Phishing Scams,Exploits online relationships to demand money or gifts.,Legal,Pop-ups,Pay ransom,Your account is compromised. Act now!,
Fake Law Enforcement Scams,Falsely claims unpaid debt and demands immediate payment.,Financial/Personal,Email,Make payment to avoid legal trouble,Confirm your account details to avoid suspension.,
Impersonation Scams,Exploits online relationships to demand money or gifts.,Financial/Personal,Dating Apps,Invest in fake opportunity,Confirm your account details to avoid suspension.,
Debt Collection Scams,Pretends to be someone else to steal personal or financial information.,Financial,Pop-ups,Pay fine to avoid arrest,I need money for an emergency.,
Extortion Scams,Pretends to be someone else to steal personal or financial information.,Personal,SMS,Invest in fake opportunity,I need money for an emergency.,
Charity Scams,Tricks victims into providing sensitive information.,Legal,Email,Claim prize by paying fee,Confirm your account details to avoid suspension.,
Investment Scams,Threatens to release personal data unless ransom is paid.,Financial/Personal,SMS,Make payment to avoid legal trouble,Invest now and double your money.,
Fake Law Enforcement Scams,Claims the victim's device is infected with malware and demands payment.,Financial/Personal,Pop-ups,Pay ransom,Invest now and double your money.,
Lottery Scams,Pretends to be someone else to steal personal or financial information.,Financial/Personal,Email,Pay for fake services,Your account is compromised. Act now!,
Phishing Scams,Tricks victims into providing sensitive information.,Financial/Personal,SMS,Send money or gifts,I need money for an emergency.,
Debt Collection Scams,Threatens to release personal data unless ransom is paid.,Emotional,SMS,Make payment to avoid legal trouble,You owe $500. Pay immediately.,
Tech Support Scams,Falsely claims unpaid debt and demands immediate payment.,Legal,Pop-ups,Invest in fake opportunity,You owe $500. Pay immediately.,
Extortion Scams,Threatens to release personal data unless ransom is paid.,Legal,Social Media,Claim prize by paying fee,Invest now and double your money.,
Debt Collection Scams,Claims the victim's device is infected with malware and demands payment.,Financial/Emotional,Social Media,Claim prize by paying fee,I need money for an emergency.,
Debt Collection Scams,Exploits online relationships to demand money or gifts.,Emotional,Pop-ups,Pay ransom,Your device is infected. Call us to fix it.,
Tech Support Scams,Promotes fake investment opportunities to steal money.,Emotional,SMS,Invest in fake opportunity,We are the IRS. Pay to avoid legal action.,
Fake Law Enforcement Scams,Tricks victims into providing sensitive information.,Financial/Emotional,SMS,Pay ransom,We are the IRS. Pay to avoid legal action.,
Charity Scams,Pretends to be someone else to steal personal or financial information.,Personal,Dating Apps,Donate to fake charity,You owe $500. Pay immediately.,
Charity Scams,Threatens to release personal data unless ransom is paid.,Legal,Dating Apps,Pay for fake services,I need money for an emergency.,
Phishing Scams,Claims the victim's device is infected with malware and demands payment.,Personal,Email,Claim prize by paying fee,You owe $500. Pay immediately.,
Lottery Scams,Tricks victims into providing sensitive information.,Emotional,Pop-ups,Make payment to avoid legal trouble,Confirm your account details to avoid suspension.,
Romance Scams,Threatens to release personal data unless ransom is paid.,Financial,Dating Apps,Make payment to avoid legal trouble,Your account is compromised. Act now!,
Fake Law Enforcement Scams,Falsely claims unpaid debt and demands immediate payment.,Financial/Personal,SMS,Pay for fake services,We are the IRS. Pay to avoid legal action.,
Romance Scams,Exploits online relationships to demand money or gifts.,Financial/Personal,Phone,Invest in fake opportunity,You’ve won! Claim your prize by paying a fee.,
Tech Support Scams,Tricks victims into providing sensitive information.,Personal,Email,Make payment to avoid legal trouble,This is a charity drive. Donate now.,
Impersonation Scams,Claims the victim has won a prize and asks for payment to claim it.,Emotional,Phone,Make payment to avoid legal trouble,You owe $500. Pay immediately.,
Extortion Scams,Asks for donations to fake causes or charities.,Financial/Personal,Social Media,Pay fine to avoid arrest,You owe $500. Pay immediately.,
Extortion Scams,Promotes fake investment opportunities to steal money.,Financial/Emotional,Dating Apps,Pay ransom,You’ve won! Claim your prize by paying a fee.,
Impersonation Scams,Falsely claims unpaid debt and demands immediate payment.,Financial/Emotional,SMS,Invest in fake opportunity,We are the IRS. Pay to avoid legal action.,
Phishing Scams,Tricks victims into providing sensitive information.,Emotional,Email,Provide personal information,We are the IRS. Pay to avoid legal action.,
Phishing Scams,Asks for donations to fake causes or charities.,Financial/Emotional,Dating Apps,Invest in fake opportunity,You’ve won! Claim your prize by paying a fee.,
Romance Scams,Pretends to be someone else to steal personal or financial information.,Financial/Emotional,Email,Pay for fake services,Confirm your account details to avoid suspension.,
Phishing Scams,Asks for donations to fake causes or charities.,Personal,Email,Make payment to avoid legal trouble,You owe $500. Pay immediately.,
Extortion Scams,Tricks victims into providing sensitive information.,Emotional,SMS,Pay fine to avoid arrest,You owe $500. Pay immediately.,
Investment Scams,Promotes fake investment opportunities to steal money.,Emotional,Social Media,Provide personal information,Your device is infected. Call us to fix it.,
Lottery Scams,Asks for donations to fake causes or charities.,Financial/Personal,Pop-ups,Pay for fake services,We are the IRS. Pay to avoid legal action.,
Impersonation Scams,Asks for donations to fake causes or charities.,Personal,SMS,Donate to fake charity,You’ve won! Claim your prize by paying a fee.,
Phishing Scams,Threatens to release personal data unless ransom is paid.,Personal,SMS,Pay fine to avoid arrest,Your device is infected. Call us to fix it.,
Fake Law Enforcement Scams,Impersonates police or government to claim unpaid fines.,Emotional,SMS,Provide personal information,This is a charity drive. Donate now.,
Charity Scams,Exploits online relationships to demand money or gifts.,Financial/Personal,Phone,Pay fine to avoid arrest,You’ve won! Claim your prize by paying a fee.,
Investment Scams,Promotes fake investment opportunities to steal money.,Personal,Phone,Send money or gifts,You’ve won! Claim your prize by paying a fee.,
Investment Scams,Pretends to be someone else to steal personal or financial information.,Financial/Personal,Email,Send money or gifts,This is a charity drive. Donate now.,
Charity Scams,Claims the victim's device is infected with malware and demands payment.,Financial/Personal,Social Media,Make payment to avoid legal trouble,Your account is compromised. Act now!,
Impersonation Scams,Threatens to release personal data unless ransom is paid.,Financial,SMS,Send money or gifts,"Help me, I'm in trouble.",
Extortion Scams,Claims the victim has won a prize and asks for payment to claim it.,Financial/Personal,Dating Apps,Provide personal information,I need money for an emergency.,
Romance Scams,Falsely claims unpaid debt and demands immediate payment.,Emotional,Dating Apps,Provide personal information,Your device is infected. Call us to fix it.,
Extortion Scams,Claims the victim has won a prize and asks for payment to claim it.,Personal,Phone,Make payment to avoid legal trouble,You’ve won! Claim your prize by paying a fee.,
Lottery Scams,Promotes fake investment opportunities to steal money.,Emotional,SMS,Invest in fake opportunity,You’ve won! Claim your prize by paying a fee.,
Phishing Scams,Threatens to release personal data unless ransom is paid.,Emotional,Phone,Make payment to avoid legal trouble,We are the IRS. Pay to avoid legal action.,
Charity Scams,Threatens to release personal data unless ransom is paid.,Financial/Emotional,SMS,Send money or gifts,Your account is compromised. Act now!,
Phishing Scams,Claims the victim has won a prize and asks for payment to claim it.,Legal,Pop-ups,Pay ransom,You’ve won! Claim your prize by paying a fee.,
Charity Scams,Asks for donations to fake causes or charities.,Emotional,Pop-ups,Make payment to avoid legal trouble,This is a charity drive. Donate now.,
Phishing Scams,Threatens to release personal data unless ransom is paid.,Financial/Personal,Pop-ups,Send money or gifts,This is a charity drive. Donate now.,
Investment Scams,Claims the victim has won a prize and asks for payment to claim it.,Financial/Emotional,Dating Apps,Pay ransom,This is a charity drive. Donate now.,
Lottery Scams,Threatens to release personal data unless ransom is paid.,Financial/Personal,Dating Apps,Donate to fake charity,You’ve won! Claim your prize by paying a fee.,
Debt Collection Scams,Impersonates police or government to claim unpaid fines.,Legal,Pop-ups,Pay fine to avoid arrest,Invest now and double your money.,
Romance Scams,Threatens to release personal data unless ransom is paid.,Personal,Email,Invest in fake opportunity,Invest now and double your money.,
Romance Scams,Claims the victim has won a prize and asks for payment to claim it.,Financial/Personal,Pop-ups,Pay ransom,You’ve won! Claim your prize by paying a fee.,
Tech Support Scams,Claims the victim's device is infected with malware and demands payment.,Financial/Emotional,SMS,Invest in fake opportunity,Your device is infected. Call us to fix it.,
Impersonation Scams,Claims the victim's device is infected with malware and demands payment.,Emotional,Phone,Send money or gifts,Invest now and double your money.,
Phishing Scams,Exploits online relationships to demand money or gifts.,Personal,Email,Send money or gifts,Your device is infected. Call us to fix it.,
Phishing Scams,Threatens to release personal data unless ransom is paid.,Financial/Personal,Social Media,Pay for fake services,You’ve won! Claim your prize by paying a fee.,
Romance Scams,Asks for donations to fake causes or charities.,Personal,Social Media,Pay ransom,Confirm your account details to avoid suspension.,
Phishing Scams,Tricks victims into providing sensitive information.,Financial,Dating Apps,Claim prize by paying fee,This is a charity drive. Donate now.,
Romance Scams,Asks for donations to fake causes or charities.,Personal,Email,Provide personal information,I need money for an emergency.,
Investment Scams,Claims the victim has won a prize and asks for payment to claim it.,Legal,Pop-ups,Send money or gifts,This is a charity drive. Donate now.,
Tech Support Scams,Falsely claims unpaid debt and demands immediate payment.,Financial,Social Media,Pay fine to avoid arrest,This is a charity drive. Donate now.,
Investment Scams,Promotes fake investment opportunities to steal money.,Emotional,Email,Claim prize by paying fee,You owe $500. Pay immediately.,
Extortion Scams,Claims the victim has won a prize and asks for payment to claim it.,Emotional,SMS,Send money or gifts,Your device is infected. Call us to fix it.,
Tech Support Scams,Impersonates police or government to claim unpaid fines.,Legal,Pop-ups,Send money or gifts,"Help me, I'm in trouble.",
Tech Support Scams,Claims the victim's device is infected with malware and demands payment.,Personal,Pop-ups,Pay for fake services,Confirm your account details to avoid suspension.,
Debt Collection Scams,Exploits online relationships to demand money or gifts.,Financial/Personal,Phone,Claim prize by paying fee,This is a charity drive. Donate now.,
Tech Support Scams,Claims the victim has won a prize and asks for payment to claim it.,Financial/Emotional,Social Media,Invest in fake opportunity,Your device is infected. Call us to fix it.,
Charity Scams,Claims the victim's device is infected with malware and demands payment.,Personal,Dating Apps,Invest in fake opportunity,Your account is compromised. Act now!,
Tech Support Scams,Claims the victim's device is infected with malware and demands payment.,Emotional,Pop-ups,Pay ransom,You owe $500. Pay immediately.,
Romance Scams,Exploits online relationships to demand money or gifts.,Emotional,Phone,Make payment to avoid legal trouble,Invest now and double your money.,
Phishing Scams,Threatens to release personal data unless ransom is paid.,Legal,Phone,Make payment to avoid legal trouble,Invest now and double your money.,
Romance Scams,Threatens to release personal data unless ransom is paid.,Emotional,Pop-ups,Pay fine to avoid arrest,This is a charity drive. Donate now.,
Romance Scams,Claims the victim has won a prize and asks for payment to claim it.,Emotional,SMS,Donate to fake charity,You’ve won! Claim your prize by paying a fee.,
Extortion Scams,Threatens to release personal data unless ransom is paid.,Financial/Emotional,Dating Apps,Donate to fake charity,Your account is compromised. Act now!,
Phishing Scams,Claims the victim has won a prize and asks for payment to claim it.,Legal,SMS,Invest in fake opportunity,Your account is compromised. Act now!,
Fake Law Enforcement Scams,Pretends to be someone else to steal personal or financial information.,Financial,SMS,Pay ransom,"Help me, I'm in trouble.",
Romance Scams,Claims the victim has won a prize and asks for payment to claim it.,Financial/Emotional,Dating Apps,Send money or gifts,We are the IRS. Pay to avoid legal action.,
Investment Scams,Pretends to be someone else to steal personal or financial information.,Financial/Emotional,Email,Invest in fake opportunity,You’ve won! Claim your prize by paying a fee.,
